prompt,target,prediction
"No, I'm all set, thanks. [GOODBYE]",Have a great day!,I'm not going to be there.
"Can you find me some interesting things to entertain me [REQUEST(city=); REQUEST(event_type=Music, Theater)]","Sure, but what city and category? Maybe music or perhaps theater?",Have a great day.
"I really love Musical performance shows, so let's look for one in NYC [OFFER(event_name=Abbi Jacobson); OFFER(venue=Kaufmann Concert Hall); OFFER(date=March 11th); OFFER(time=7:30 pm); INFORM_COUNT(count=10)]","I found 10 events including one from Abbi Jacobson at Kaufmann Concert Hall that's happening on March 11th at 7:30 pm, how does that sound?",I've seen some of the shows in NYC.
"That sounds really good, but can you try looking for events on March 12th [OFFER(event_name=Alma Deutscher); OFFER(venue=Stern Auditorium / Perelman Stage); OFFER(date=March 12th); OFFER(time=5 pm); INFORM_COUNT(count=10)]","I found 10 events again, one of them being Alma Deutscher at Stern Auditorium / Perelman Stage that's at 5 pm on March 12th",Is there anything else I can help you with?
Where is the venues address? [INFORM(venue_address=881 7th Avenue)],It's at 881 7th Avenue,Where are the venues?
"That sounds cool, book me three tickets to that. [CONFIRM(event_name=Alma Deutscher); CONFIRM(number_of_tickets=3); CONFIRM(date=March 12th); CONFIRM(city=New York)]",Confirming you want 3 tickets to Alma Deutscher on March 12th in New York?,I have a ticket for Alma Deutscher for the event on March 12th.
Yes that's absolutely perfect [NOTIFY_SUCCESS],"It's booked, I hope you enjoy the show!",I'm sure you're right.
"Thanks, I hope so too, that's all for now [GOODBYE]",Enjoy and take care!,"Thank you, I hope so."
"Is there something interesting I can do, hopefully music related? [REQUEST(city=)]",Which city should I look for music events?,"Is there something interesting I can do, hopefully music related?"
"Can you try looking for music events in Atlanta, GA? [OFFER(event_name=Adam Ant); OFFER(venue=Atlanta Symphony Orchestra); OFFER(date=March 11th); OFFER(time=5 pm)]","For that city I found an upcoming event on March 11th at 5 pm, would you be interested in seeing Adam Ant at the Atlanta Symphony Orchestra.",Can you help you with your music needs in Atlanta?
"Sounds great, thanks for finding this event. [OFFER_INTENT(intent=BuyEventTickets)]",Would you like to purchase tickets to this event?,This is a great event.
"Sure, buy me tickets for the event. [REQUEST(number_of_tickets=)]",What amount would you like to purchase at the moment?,I have a ticket for the event.
I only want to buy one ticket at the moment. [CONFIRM(event_name=Adam Ant); CONFIRM(number_of_tickets=1); CONFIRM(date=March 11th); CONFIRM(city=Atlanta)],"You would like to buy 1 ticket for Adam Ant performing in Atlanta on March 11th, is that correct?",I have only bought one ticket at the moment.
"That is all correct, no problems here. [NOTIFY_SUCCESS]","The reservation has been made, hope you enjoy the event.","All right, no problems here."
"Great, thanks for all the help, that is all I needed for now. [GOODBYE]","Understood, enjoy the rest of your day.","Great, thanks for all the help."
I'm looking for something fun to do. [REQUEST(city=); REQUEST(event_type=)],Which city and what type of event?,I'm looking for something fun to do.
How about a show in London. [OFFER(event_name=A Right Royale Tea); OFFER(venue=Amba Hotel Charing Cross); OFFER(date=March 14th); OFFER(time=7 pm); INFORM_COUNT(count=10)],There are 10 that may interest you. How about A Right Royale Tea at Amba Hotel Charing Cross on March 14th hat 7 pm?,What about a show in London?
"Great, can you reserve tickets? [REQUEST(number_of_tickets=)]","Sure, how many?",Can I reserve tickets for the Great event?
"2 tickets, please. [CONFIRM(event_name=A Right Royale Tea); CONFIRM(number_of_tickets=2); CONFIRM(date=March 14th); CONFIRM(city=London)]",Can you confirm you'd like 2 tickets to A Right Royale Tea in London on March 14th?,[CONFIRM(event_name=A Right Royale Tea); CONFIRM(number_of_tickets=2); CONFIRM(date=March 14th); CONFIRM(city=London)]
"Yes, where is it? [INFORM(venue_address=Strand); NOTIFY_SUCCESS]",I've confirmed your reservation. The venue is Strand.,What is the venue?
How much is a ticket? [INFORM(price_per_ticket=$50)],Each ticket is $50.,How much is a ticket?
Thanks again for the help. [REQ_MORE],Anything else you need?,Have a great day.
"Nope, thanks again. [GOODBYE]","My pleasure, have a good day.","Nope, thanks again."
I'm looking for something interesting to do. [REQUEST(event_type=); REQUEST(city=)],Is there any particular type of event you are looking for? What area do you want to look in?,I'm looking for something interesting.
I'm looking for an event around Philly and I really would like a musical performance. [OFFER(event_name=Anthony Green); OFFER(venue=The Foundry); OFFER(date=March 10th); OFFER(time=6 pm); INFORM_COUNT(count=10)],I found 10 events you may like. How about Anthony Green at The Foundry on March 10th at 6 pm?,I'm looking for an event around Philly and would like a musical performance.
How much does the event cost and where is it taking place? [INFORM(venue_address=29 East Allen Street 2nd Floor); INFORM(price_per_ticket=$60)],The event costs $60 and is located at 29 East Allen Street 2nd Floor.,The event is taking place at 29 East Allen Street 2nd Floor.
"Okay, that sounds great. [OFFER_INTENT(intent=BuyEventTickets)]",Would you like to purchase tickets for the event.,"Okay, that sounds great."
"Yes, I do. [REQUEST(number_of_tickets=)]",How many tickets do you need?,"Yes, I do."
I need to buy 4 tickets. [CONFIRM(event_name=Anthony Green); CONFIRM(number_of_tickets=4); CONFIRM(date=March 10th); CONFIRM(city=Philadelphia)],"Okay, I have an order with 4 tickets for Anthony Green on March 10th in Philadelphia, right?",I need 4 tickets.
"Yes, that is correct. [NOTIFY_SUCCESS]","I have purchased the tickets, enjoy!","Yes, that is correct."
"Thank you, that is all I need. [GOODBYE]",Have a great day.,I have a great day.
I want to find some interesting events around Sacramento. I need your help to search for some nice events to me. [REQUEST(event_type=)],What type of events that you like the most?,I want to find some interesting events around Sacramento.
I think Music events are the best of mine. [OFFER(event_name=Aftershock Festival); OFFER(venue=Discovery Park); OFFER(date=March 5th); OFFER(time=5:30 pm)],How about an event name Aftershock Festival which is taking place at Discovery Park on March 5th at 5:30 pm? Do you like it?,I think Music events are the best of mine.
Let me know the cost of ticket to decide. [INFORM(price_per_ticket=$20)],It costs about $20.,Is there a ticket for 20?
And I also want to know the venue where this event will take place? [INFORM(venue_address=1600 Garden Highway)],It will take place at 1600 Garden Highway. Hope this is okay for you.,Is there any other venue for this event?
"Yes, but I also want to find some other events which is going to be take place on the 1st. [OFFER(event_name=Popa Chubby); OFFER(venue=The Sofia Tsakopoulos Center for the Arts); OFFER(date=March 1st); OFFER(time=7:30 pm); INFORM_COUNT(count=4)]",How about the one among the 4 I got that is Popa Chubby which is very popular event and the same will be take place at The Sofia Tsakopoulos Center for the Arts on March 1st at 7:30 pm?,I have a great time. I have a great time.
I will decide later and find for some other events. [OFFER(event_name=Rhett And Link); OFFER(venue=Sacramento Memorial Auditorium); OFFER(date=March 1st); OFFER(time=5:30 pm)],What about Rhett And Link which is going to take place at Sacramento Memorial Auditorium on the same March 1st at 5:30 pm? Is that okay?,I will decide what to do next and what else?
"Yes, this is perfect. Thanks. [OFFER_INTENT(intent=BuyEventTickets)]",Shall I book the tickets to this event?,"Yes, this is perfect."
"Yes, do it for me. [REQUEST(number_of_tickets=)]",Let me know the number of tickets that you want to purchase.,"Yes, do it for me."
I need four tickets. [CONFIRM(event_name=Rhett And Link); CONFIRM(number_of_tickets=4); CONFIRM(date=March 1st); CONFIRM(city=SAcramento)],Please confirm to book 4 tickets for the Event Rhett And Link at SAcramento on March 1st.,I need four tickets.
That is confirmed. What about the ticket cost? [INFORM(price_per_ticket=$45); NOTIFY_SUCCESS],Ticket cost will be around $45 and I have successfully purchased the same.,What about the ticket cost?
Thank you so much. [GOODBYE],Have a good day.,I have a great day.
What can you recommend for me to do that's interesting? [REQUEST(city=)],Do you have a particular city in mind?,What can you recommend for me to do that?
"Search for events around London? [REQUEST(event_type=Music, Theater)]","Are you interested in Music or Theater, or any other particular category?",Have a look at London's music scene?
I'm particularly found of Play events. [OFFER(event_name=A Right Royale Tea); OFFER(venue=Amba Hotel Charing Cross); OFFER(date=March 14th); OFFER(time=7 pm)],"There is an event on March 14th at 7 pm, would you be interested in seeing A Right Royale Tea at the Amba Hotel Charing Cross?",I've been playing Play events for a while now.
"Sounds great, please reserve tickets to the event. [REQUEST(number_of_tickets=)]",Will you be reserving more than one ticket to the event?,Please reserve tickets to the event.
"Yes, I want to reserve three tickets. [CONFIRM(event_name=A Right Royale Tea); CONFIRM(number_of_tickets=3); CONFIRM(date=March 14th); CONFIRM(city=London)]","You wish to reserve 3 tickets to A Right Royale Tea, playing on March 14th in London correct?",I have three tickets.
"That is all correct, where will the play take place? [INFORM(venue_address=Strand); NOTIFY_SUCCESS]","The reservation has been made, the play will occur at the Strand, hope you enjoy the venue!",The play will take place.
"Great, thanks for all your help, that was all I needed. [GOODBYE]","Your welcome, have a great day.",Great.
"Hey, you think you could find me something to do? I would love something to do with Music around LA. [OFFER(event_name=Ain Gordon); OFFER(venue=Ralph Freud Playhouse); OFFER(date=March 9th); OFFER(time=7 pm); INFORM_COUNT(count=10)]","I've found 10 events like that. Would you like Ain Gordon, which is taking place at Ralph Freud Playhouse on March 9th at 7 pm?",I have a great time.
"Sounds alright. How much does a ticket cost, and what's the address? [INFORM(venue_address=245 Charles E Young Drive East); INFORM(price_per_ticket=$60)]","The venue is located at 245 Charles E Young Drive East, and a ticket costs $60.",What is the ticket price?
"That sounds good to me, can you reserve me one ticket to the event? [CONFIRM(event_name=Ain Gordon); CONFIRM(number_of_tickets=1); CONFIRM(date=March 9th); CONFIRM(city=Los Angeles)]",Please confirm the following: You would like 1 ticket to Ain Gordon on March 9th in Los Angeles.,Can you reserve one ticket to the event?
Confirmed. Buy me that ticket. [NOTIFY_SUCCESS],The ticket has successfully been purchased. I hope you enjoy your time there.,I have a ticket.
"Awesome, thank you. [REQ_MORE]",You're most welcome. Is there anything else I could assist you with today?,Have a great day.
"No, that will be all. [GOODBYE]",Okay. Goodbye.,Is there anything else I can do.
"I am in the Chicago area, and I am looking for something interesting to do. I would especially like to find a Musical performance. [OFFER(event_name=Ashe); OFFER(venue=Chop Shop); OFFER(date=March 11th); OFFER(time=7:30 pm)]",Ashe will be playing at Chop Shop on March 11th at 7:30 pm.,I am in Chicago and looking for something interesting. I would like to see a Musical performance.
That would be great. I would like to reserve a ticket for that event. [REQUEST(number_of_tickets=)],How many tickets would you like?,I would like to reserve a ticket for that event.
"I would like 1 ticket, please. [CONFIRM(event_name=Ashe); CONFIRM(number_of_tickets=1); CONFIRM(date=March 11th); CONFIRM(city=Chicago)]","You would like 1 ticket for Ashe on March 11th in Chicago, is this correct?",I would like 1 ticket for the event.
"Yes, that sounds correct. What is the address for the event? [INFORM(venue_address=2033 West North Avenue); NOTIFY_SUCCESS]",The address for the venue is 2033 West North Avenue. Your reservation is confirmed. Enjoy the show!,The venue is 2033 West North Avenue.
Thank you very much for your help! [REQ_MORE],Is there anything else I can help you with today?,Thank you for your help!
"No, I'm all set, thanks. [GOODBYE]",Have a great day!,I'm not going to be there.
"I'm looking for something fun to do on March 13th. [REQUEST(event_type=Music, Theater)]","Would you prefer Music, Theater or something else?",I'm looking for something fun to do on March 13th.
I'm interested in Musical performance. [REQUEST(city=)],In which city?,I'm interested in Musical performance.
Can you check Philly? [OFFER(event_name=Babymetal); OFFER(venue=The Fillmore Philadelphia); OFFER(date=March 13th); OFFER(time=7 pm); INFORM_COUNT(count=10)],There are 10 options. Babymetal is an event taking place on March 13th at 7 pm at The Fillmore Philadelphia and is trending right now.,Can you check Philly at The Fillmore Philadelphia on March 13th?
Sounds awesome. Book me 1 ticket please. [CONFIRM(event_name=Babymetal); CONFIRM(number_of_tickets=1); CONFIRM(date=March 13th); CONFIRM(city=Philadelphia)],Please confirm you want me to book 1 ticket for Babymetal in Philadelphia on March 13th.,I have a ticket for the Babymetal event on March 13th.
Yes. That's perfect. What's the price and on what date is it taking place? [INFORM(venue_address=29 East Allen Street); INFORM(price_per_ticket=$60); NOTIFY_SUCCESS],Your booking was a success. The venue is located at 29 East Allen Street and the cost is $60.,The price is 60 dollars.
Thank you for your assistance. [REQ_MORE],Is there anything else you need today?,Thank you for your help.
No. Thanks so much. [GOODBYE],Please enjoy your day. Goodbye.,Thank you so much for the support.
"I'm bored what is happening that I would enjoy? [REQUEST(city=); REQUEST(event_type=Music, Theater)]","Where are you interested in finding something to do? What are you interested in doing maybe Music, Theater, or make your own suggestion.",I'm bored what is happening that I would like to enjoy?
A San Francisco Stage Show would be perfect. [OFFER(event_name=Above Ground); OFFER(venue=Mojo Theatre); OFFER(date=March 6th); OFFER(time=5 pm); INFORM_COUNT(count=10)],"I have come up with 10 ideas that fit the bill. There is something at the Mojo Theatre on March 6th, Above Ground scheduled to start at 5 pm.",A San Francisco Stage Show would be perfect for you.
Good choice how about getting me two seats for that show. [CONFIRM(event_name=Above Ground); CONFIRM(number_of_tickets=2); CONFIRM(date=March 6th); CONFIRM(city=San Francisco)],"So, that's March 6th in San Francisco, 2 tickets to Above Ground, is that correct?",I have two seats for the show.
Actually I should get four tickets and take the kids too. [CONFIRM(event_name=Above Ground); CONFIRM(number_of_tickets=4)],So change that to 4 Above Ground seats is that right?,I have 4 tickets and I would like to take the kids too.
Perfect that is correct. [NOTIFY_SUCCESS],I have purchased your seats have a good time!,I have a good idea.
"Wonderful, thank you. [REQ_MORE]",Will there be anything else?,I have a wonderful day.
"No, thank you anyway. [GOODBYE]",Have a very nice day.,Is there anything else I can do to help you with?
"Would you help me find something interesting to do around Chi-town? [REQUEST(event_type=Music, Theater)]",Do you like any category in particular like music or theater or something else?,Would you like to help me find something interesting around Chi-town?
"I'd like something March 13th like Broadway. [OFFER(event_name=All That He Was); OFFER(venue=The Buena, Pride Arts Center); OFFER(date=March 13th); OFFER(time=5 pm)]","All That He Was is a popular event taking place at The Buena, Pride Arts Center happening March 13th at 5 pm.","I'd like to see all That He Was on Broadway at The Buena, Pride Arts Center on March 13th."
What does one ticket cost and where is the event taking place? [INFORM(venue_address=4147 North Broadway); INFORM(price_per_ticket=$25)],The event venue is 4147 North Broadway with tickets costing $25.,What is the ticket cost and where is the event taking place?
These events are good but can you find me some others like something on the 1st of March around Los Angeles. [OFFER(event_name=A Year in Dragonfly); OFFER(venue=Studio C Artists); OFFER(date=March 1st); OFFER(time=7:30 pm)],A Year in Dragonfly is popular and taking place at Studio C Artists on March 1st at 7:30 pm starting.,I have a great time. I have a great time.
That is wonderful. [OFFER_INTENT(intent=BuyEventTickets)],Would you like to buy tickets for this event?,Is there anything else I can do?
"Yes, I'd like to buy two tickets. [CONFIRM(event_name=A year in Dragonfly); CONFIRM(number_of_tickets=2); CONFIRM(date=March 1st); CONFIRM(city=Los Angeles)]",Please confirm the following details that you are booking 2 tickets for A year in Dragonfly March 1st in Los Angeles.,"Yes, I'd like to buy two tickets."
"Yes, that will work for me. Where is the event going on and how much does a ticket cost? [INFORM(venue_address=6448 California 2); INFORM(price_per_ticket=$55); NOTIFY_SUCCESS]",The reservation is confirmed and have a great time. The venue is at 6448 California 2 costing $55.,"Yes, that will work for me. Is there anything else I can do to get a ticket for?"
Thanks so much for your help and that's all I need. [GOODBYE],Have a nice day.,I've found that you're helping me.
"I wonder if you can help me find something interesting to do? [REQUEST(event_type=Music, Theater)]",Is there a particular category you prefer? This might be Music or Theater or anything else.,Is there anything else I can help you with?
I really enjoy Theater. [REQUEST(city=)],Is there a specific city you want me to search in?,Theater.
I want to find something around SD. [OFFER(event_name=About Time); OFFER(venue=Talent to aMuse Theatre Co); OFFER(date=March 9th); OFFER(time=4 pm)],About Time is a popular event happening at Talent to aMuse Theatre Co on March 9th at 4 pm.,I have a good idea.
What is the cost of one ticket? [INFORM(price_per_ticket=$40)],The price of the ticket is $40.,What is the cost of one ticket?
Where will the event happen? [INFORM(venue_address=3919 Normal Street)],The venue for the event is 3919 Normal Street.,The event will take place on 3919 Normal Street.
That sounds fine. I would like to reserve 3 tickets for this event. [CONFIRM(event_name=About Time); CONFIRM(number_of_tickets=3); CONFIRM(date=March 9th); CONFIRM(city=San Diego)],Confirm these details: Booking 3 tickets for About Time on March 9th in San Diego.,I have 3 tickets for this event.
"Yes, that is good for me. [NOTIFY_SUCCESS]",Your reservation has been confirmed. I hope you have a great time!,[NOTIFY_SUCCESS]
Thanks very much for your help. That was all I wanted. [GOODBYE],Have a wonderful day.,Thank you for your help.
I need to find a one way flight. [REQUEST(origin_airport=); REQUEST(departure_date=); REQUEST(destination_airport=)],What date would you be leaving? Where would you be departing from? What is your desired destination?,I need to find a one way flight.
I need a flight on the 11th of this month from SD to Ciudad de Mexico. [OFFER(airlines=Alaska Airlines); OFFER(outbound_departure_time=1:05 pm); OFFER(is_nonstop=False); OFFER(price=$190)],There is a flight with Alaska Airlines that costs $190 and departs at 1:05 pm.,I need a flight from SD to Ciudad de Mexico on the 11th of this month.
"Thanks, I am all set. [GOODBYE]",Have a great day.,I am happy to have a great day.
I need to book a one way flight. I'm not sure when I'll be able to return. [REQUEST(destination_airport=); REQUEST(origin_airport=)],"Ok, which city are going to be flying out of and what city are you visiting?",I need to book a one way flight. I'm not sure when I'll be able to return.
I will be flying out of Los Angeles and I will going to SD. [REQUEST(departure_date=)],"Alright, which date will you be traveling?",I will be flying out of Los Angeles and I will go to SD.
I want to fly out on the 10th of this month. [OFFER(airlines=Alaska Airlines); OFFER(outbound_departure_time=12:15 pm); OFFER(is_nonstop=True); OFFER(price=$58); INFORM_COUNT(count=2)],I found 2 flights that you might be interested in. The first one is with Alaska Airlines. This is a direct flight that costs $58 and takes off at 12:15 pm.,I want to fly out on the 10th of this month.
"Wow, that sounds great! That's a good price! [REQ_MORE]",Do you need help with anything else?,That sounds great!
"No, that's all I need right now. [GOODBYE]",Glad I could help! Have a great day!,[GOODBYE]
"I would like to book a one way flight to Toronto, Ontario. [REQUEST(origin_airport=); REQUEST(departure_date=)]",When do you want to travel and where are you departing from?,"I would like to book a one way flight to Toronto, Ontario."
I will be departing from Atlanta on the 7th of March. [OFFER(airlines=American Airlines); OFFER(outbound_departure_time=5:10 am); OFFER(is_nonstop=False); OFFER(price=$197); INFORM_COUNT(count=4)],I found 4 different flights. There is American Airlines that leaves at 5:10 am for the cost of $197.,I will depart from Atlanta on 7th of March.
That is all the information I needed. [GOODBYE],Have a good day.,I have been reading this.
I need a one way flight. [REQUEST(origin_airport=)],From which city would you like to depart?,I need a one way flight.
I need flights from NYC. [REQUEST(departure_date=); REQUEST(destination_airport=)],On which date would you like to travel? What is your destination?,I need flights from NYC.
I need to travel on the 13th to Warsaw. [OFFER(airlines=American Airlines); OFFER(outbound_departure_time=11:20 AM); OFFER(is_nonstop=False); OFFER(price=$360)],Would you like to fly with American Airlines? There is a great flight option at 11:20 AM. This is a connecting flight. The ticket price is $360.,I need to travel on the 13th to Warsaw.
"That sounds good, then. Thanks. [GOODBYE]",Of course. Have a wonderful day.,That sounds good.
"I'm looking for a flight, just one way from Seattle, it'll be for four people. And I want to go on American Airlines. [REQUEST(departure_date=); REQUEST(destination_airport=)]",What's the date you want to fly on? And what's your destination?,I'm looking for a flight for four people from Seattle. I want to go on American Airlines.
I want to go on the 4th of this month. My destination is New York. [OFFER(airlines=American Airlines); OFFER(outbound_departure_time=4:15 pm); OFFER(is_nonstop=False); OFFER(price=$304); INFORM_COUNT(count=1)],There's 1 flight that's available. It's with American Airlines. It departs at 4:15 pm. There is a connection. For one ticket it's $304.,I want to go on the 4th of this month. My destination is New York.
"Okay, I think I like that. Thank you, I no longer need any more help. [GOODBYE]","Have a fine day, take care.",I have a good day.
i am looking to book a one way flight [REQUEST(origin_airport=)],From which place do you want to depart?,I have booked a one way flight.
"I am looking for flights from Vancouver, BC. [REQUEST(departure_date=); REQUEST(destination_airport=)]",On which date are you planning to travel and where are you planning to travel?,"I am looking for flights from Vancouver, BC."
I am planning to start my travel on 14th of this month and I am flyi ng to Atlanta. [OFFER(airlines=American Airlines); OFFER(outbound_departure_time=6:15 pm); OFFER(is_nonstop=True); OFFER(price=$193)],Would you like to fly with American Airlines that takes off at 6:15 pm. It is a direct flight and will cost you $193.,I am planning to start my travel on 14th of this month and I am flying to Atlanta.
Sounds good. [REQ_MORE],Is there anything I can help you with?,Sounds good.
No. Thanks for all your help. [GOODBYE],Have a nice day.,No. Thank you for your kind words.
I need to get out of town and would need a one way flight. [REQUEST(destination_airport=); REQUEST(origin_airport=); REQUEST(departure_date=)],When would you like to travel and where would you be leaving from? Which city are you heading to?,I need to get out of town and would need a one way flight.
I want to leave SF and head to LA on March 4th. [OFFER(airlines=Alaska Airlines); OFFER(outbound_departure_time=12:25 pm); OFFER(is_nonstop=True); OFFER(price=$97); INFORM_COUNT(count=5)],There are 5 flights available. You can get a ticket for $97 on Alaska Airlines for a flight that leaves at 12:25 pm.,I want to leave SF and head to LA on March 4th.
That time is not convenient to me. I would like four Premium Economy tickets. [OFFER(airlines=American Airlines); OFFER(outbound_departure_time=7:10 pm); OFFER(is_nonstop=True); OFFER(price=$159); INFORM_COUNT(count=3)],There are 3 flights available. There is an American Airlines flight for $159 that leaves at 7:10 pm.,I would like four Premium Economy tickets.
That would be fine. [REQ_MORE],Would you need anything else?,That would be a good thing.
"No, not at this time. Thanks. [GOODBYE]",Enjoy your day.,Is there anything else I can do.
"Get me a one way ticket to Seattle, WA please. [REQUEST(origin_airport=)]","Easy enough, from which city please?",Is there anything else I can help you with?
Get it out of Ciudad de Mexico. [REQUEST(departure_date=)],Oh what date?,Get it out of Ciudad de Mexico
I need to do it on Friday next week. [OFFER(airlines=American Airlines); OFFER(outbound_departure_time=3:05 am); OFFER(is_nonstop=False); OFFER(price=$283)],What about using American Airlines: You can depart at 3:05 am It has a connecting flight and costs $283.,I need to do it on Friday next week.
When will this flight arrive? [INFORM(outbound_arrival_time=9:21 am)],Arrival is at 9:21 am.,When will this flight arrive?
"Fine, I like that. [REQ_MORE]",What may I get next for you?,I have a good day.
"Nothing now, maybe later. [GOODBYE]",Have a safe trip.,"Nothing now, maybe later."
I want to book a one way flight from LAX to Washington. I am not particular about the airline. [REQUEST(departure_date=)],On which date would you like to travel?,I want to book a one way flight from LAX to Washington.
I would like to start my travel on 4th of this month. [OFFER(airlines=Alaska Airlines); OFFER(outbound_departure_time=8:10 pm); OFFER(is_nonstop=True); OFFER(price=$219)],Would you like to fly from Alaska Airlines that takes off at 8:10 pm. It is a direct flight and will cost you $219.,I am booking a flight with Alaska Airlines on 4th of this month.
That sounds good. That's all I needed. [GOODBYE],Have a nice day.,I'm glad I did.
I need a one-way flight now please. [REQUEST(departure_date=); REQUEST(destination_airport=)],"On which day would you like to book your travel, and what is your intended destination?",I have a flight for you.
"I want to start on the 8th and I want to visit Seattle, please. [REQUEST(origin_airport=)]",From which city do you intend to leave?,I have a good day.
"I need a flight from Toronto, Ontario. [OFFER(airlines=Air Canada); OFFER(outbound_departure_time=4:35 PM); OFFER(is_nonstop=False); OFFER(price=$328); INFORM_COUNT(count=3)]",There are 3 flights matching your selection. Would you like to fly with Air Canada? The flight is set to depart at 4:35 PM. It is a connecting flight and the ticket price is $328.,"I need a flight from Toronto, Ontario."
I'm good with that! [REQ_MORE],Is there anything else I may help you with?,I'm glad you have done that!
"No, but thanks a lot. [GOODBYE]",Of course. Have a wonderful day.,Is there anything else I can do to help you with?
"I want you to find me a one way flight with Southwest Airlines, and I am in need of having 3 tickets. [REQUEST(departure_date=)]",Can you tell me the date when you will take the trip?,I have 3 tickets.
I will be starting my trip on 5th of March. [REQUEST(origin_airport=)],From which city will you start your journey?,I will start my trip on 5th of March.
I will be departing from Las Vegas. [REQUEST(destination_airport=)],Can you please tell me the destination you want to arrive at?,I will depart from Las Vegas.
I want to go to Portland. [OFFER(airlines=Southwest Airlines); OFFER(outbound_departure_time=12:35 pm); OFFER(is_nonstop=False); OFFER(price=$195)],"How would you like flying with a connecting flight of Southwest Airlines, which takes off at 12:35 pm, and with a price of $195?",I want to go to Portland.
"That seems good. I appreciate it, that would be all. [GOODBYE]",Have a nice day!,I appreciate it.
"I need a one way flight, please. [REQUEST(departure_date=)]",On which date would you like to travel on?,I have a one way flight.
I want to leave like on March 14th. [REQUEST(origin_airport=)],From which city would you like to depart from?,I want to leave for the rest of the day.
I need flights from Las Vegas on that day. [REQUEST(destination_airport=)],What is your desired destination?,I need flights from Las Vegas on that day.
"I need two Economy tickets to the city of Sydney, Australia, please. [OFFER(airlines=American Airlines); OFFER(outbound_departure_time=7:35 AM); OFFER(is_nonstop=False); OFFER(price=$299); INFORM_COUNT(count=3)]","There are 3 flights matching your description. One is with American Airlines, and the flight is to take off at 7:35 AM. This is a connecting flight. The ticket price is $299. Okay?","I need two Economy tickets to Sydney, Australia, please."
"Alright then, thanks for now. [GOODBYE]",Of course. Enjoy your day.,
"I need a one way flight, can you find me a flight from Las Vegas? I need four tickets. [REQUEST(departure_date=); REQUEST(destination_airport=)]",What date are interested in traveling and what is your destination?,I need four tickets.
I wish to travel on the 1st of this month heading to Sydney Australia. [OFFER(airlines=American Airlines); OFFER(outbound_departure_time=7:35 am); OFFER(is_nonstop=False); OFFER(price=$278); INFORM_COUNT(count=4)],"I have located 4 flights. One is with American Airlines, it leaves at 7:35 am and is a connecting flight that costs $278.",I wish to travel to Sydney Australia on 1st of this month.
That sounds fine. [REQ_MORE],Is there anything else I can help you with?,[REQ_MORE]
No. I appreciate your help. [GOODBYE],Have a wonderful day.,I appreciate your help.
I want to find a one way flight with United Airlines starting my travel on the 7th of this month Premium Economy class tickets. [REQUEST(destination_airport=); REQUEST(origin_airport=)],Where are you planning to go and where are you departing from?,I want to book a one way flight with United Airlines starting on the 7th of this month Premium Economy class tickets.
I'm looking for flights from Chicago to Rio de Janeiro. [OFFER(airlines=United Airlines); OFFER(outbound_departure_time=2:05 pm); OFFER(is_nonstop=False); OFFER(price=$519)],Do you wish to fly with United Airlines taking off 2:05 pm being a connecting flight costing $519.,I'm looking for flights from Chicago to Rio de Janeiro.
When will the flight arrive at the destination and how many tickets did you get? [INFORM(number_of_tickets=1); INFORM(outbound_arrival_time=8:37 am)],It would be for 1 traveler arriving at 8:37 am.,What time did you get the tickets?
That sounds great. [REQ_MORE],Can I assist you with something else?,That is great.
"No, thanks so much for the help. [GOODBYE]",Have a nice day.,Is there anything else I can help you with?
I need a one way flight [REQUEST(destination_airport=); REQUEST(origin_airport=)],Where will you be departing from and going to?,I need a one way flight [REQUEST(destination_airport=); REQUEST(origin_airport=)]
I need flights from San Fran to Portland Oregon [REQUEST(departure_date=)],And what date will you need to fly?,I need flights from San Fran to Portland Oregon.
I need to leave on the 11th of March [OFFER(airlines=Alaska Airlines); OFFER(outbound_departure_time=7:35 am); OFFER(is_nonstop=True); OFFER(price=$120)],There is a flight at 7:35 am with Alaska Airlines. The cost would be $120.,I need to leave for the 11th of March [OFFER(airlines=Alaska Airlines); OFFER(outbound_departure_time=7:35 am); OFFER(is_nonstop=True); OFFER(price=$120)]
That sounds reasonable [REQ_MORE],Do you need something else?,That sounds reasonable
"No, that's all. Thanks. [GOODBYE]",Have a nice day.,I'm sorry.
Hello. Can you help me get two tickets for a one way flight from Los Angeles? [REQUEST(departure_date=)],Certainly. On which date would you like me to look for flights?,Hello. Can you help me with two tickets for a one way flight from Los Angeles?
Look on the 8th please. [REQUEST(destination_airport=)],Where would you like to go?,The 8th is on the 8th please.
I need to get to Philadelphia. [OFFER(airlines=American Airlines); OFFER(outbound_departure_time=12:05 pm); OFFER(is_nonstop=False); OFFER(price=$226)],"Would you like to fly with American Airlines? They have a connecting flight leaving at 12:05 pm, and the ticket costs $226.",I need to get to Philadelphia.
That will work for me. [REQ_MORE],Okay. Will there be anything else you need?,I have a good day.
"No, that's all for now. Thanks. [GOODBYE]",You're welcome. Have a nice day.,Sorry.
"I am looking for a one way flight with American Airlines from Seattle, WA to Los Angeles. [REQUEST(departure_date=)]",On which date would you like to travel?,"I am looking for a one way flight with American Airlines from Seattle, WA to Los Angeles."
